3123186,3070307879,10
29367452,1718406680,10
1718406680,1718406676,10
1718406676,1718406672,10
1718406672,29367453,10
29367453,1718406652,10
1718406652,312898597,10
312898597,29367454,10
29367454,312898599,10
312898599,29367455,10
29367455,332277306,10
332277306,312898506,10
312898506,312898574,10
312898574,1718406724,10
1718406724,1718406731,10
1718406731,1718406739,10
1718406739,1718406741,10
1718406741,29367458,10
314415195,2172216381,50
2172216381,314415603,50
265093472,2172194623,50
329581936,1270857615,10
1270857615,1270857630,10
1270857630,1270857621,10
1270857621,30106152,10
30106152,29394919,10
29394919,2338700783,10
2338700783,329581936,10
30106160,30109782,10
30106150,30106388,10
314428164,322879515,10
322879515,1038569553,10
314435318,197911809,10
887126092,919100101,10
30106144,2400222170,10
2400222170,3542443957,10
1633693655,1633693650,10
1633693650,30106141,10
29367461,4673370455,10
4673370455,1718406665,10
1718406665,1718406646,10
1718406646,1718406644,10
1718406644,332268474,10
332268474,312876457,10
312876457,29367462,10
29367462,312876458,10
312876458,4776667596,10
4776667596,1718406621,10
1718406621,1718406622,10
29367471,1718406603,10
1718406603,29367472,10
29367472,1718406607,10
1718406607,4671772207,10
4671772207,29367473,10
29367473,4787246402,10
4787246402,29367474,10
29367474,29367469,10
29367467,1718406664,10
331568453,4274479231,10
4274479231,4274479228,10
21557446,312887804,10
312887804,21557450,10
21557450,3790776681,10
3790776681,21557447,10
21557447,332315017,10
332315017,312888840,10
312888840,21557451,10
21557451,312887806,10
312887806,21557445,10
21557445,312887808,10
312887808,332314597,10
332314597,21557449,10
21557449,4553535090,10
4553535090,1039830875,10
1039830875,312887810,10
312887810,21557448,10
21557448,3790776679,10
3790776679,312887812,10
312887812,21557452,10
21557452,312888751,10
312888751,3790776680,10
3790776680,332314598,10
332314598,21557446,10
332314598,3707300290,10
3707300290,29367538,10
29367538,1055328719,10
1055328719,902478774,10
902478774,29367541,10
29367541,902475375,10
902475375,312890074,10
3123194,3123212,10
1633679628,1633679561,50
1633679561,2310907139,50
2310907139,30388376,50
30388376,30388377,50
30388377,1633679554,50
1633679554,344323938,50
344323938,911099565,50
911099565,1633679588,50
1633679588,2310907080,50
2310907080,1633679556,50
1633679556,1042819069,50
